image_name,mse,psnr,fmse,fpsnr,ssim,fssim,foreground_area,foreground_ratio
c574349_1399382_1_harmonized.jpg,4.0001,42.1101,150.9107,26.3436,0.998207,0.942747,1728.0,0.026367
c236515_1119375_1_harmonized.jpg,4.1325,41.9687,118.3219,27.4002,0.990745,0.739892,2280.0,0.03479
c184940_689539_1_harmonized.jpg,2.964,43.412,85.7843,28.7967,0.998002,0.967579,2232.0,0.034058
c258702_248213_1_harmonized.jpg,17.6934,35.6527,554.863,20.6889,0.996284,0.892523,2088.0,0.03186
c287094_1566693_1_harmonized.jpg,2.5242,44.1096,103.0829,27.9989,0.990765,0.668229,1585.0,0.024185
c11826_558895_1_harmonized.jpg,1.4144,46.6251,82.1207,28.9863,0.999263,0.965383,1116.0,0.017029
c11826_558895_2_harmonized.jpg,3.859,42.266,225.583,24.5977,0.999188,0.96219,1116.0,0.017029
c290704_601091_1_harmonized.jpg,2.2238,44.6598,191.3978,25.3114,0.997784,0.898986,755.0,0.01152
c6005_597006_2_harmonized.jpg,4.1674,41.9322,120.3739,27.3255,0.998081,0.957275,2253.0,0.034378
c6005_597006_1_harmonized.jpg,2.023,45.0709,58.0373,30.4937,0.998953,0.975425,2253.0,0.034378
c176312_1174235_1_harmonized.jpg,1.9731,45.1794,80.291,29.0841,0.999177,0.97903,1598.0,0.024384
c176312_1174235_2_harmonized.jpg,3.7963,42.3372,154.884,26.2307,0.99885,0.965524,1598.0,0.024384
c137704_1566547_1_harmonized.jpg,3.3213,42.9177,312.0411,23.1887,0.997414,0.813044,690.0,0.010529
c349208_648509_1_harmonized.jpg,5.215,40.9582,318.4061,23.101,0.996877,0.847599,1068.0,0.016296
c53595_65887_1_harmonized.jpg,2.967,43.4076,121.2014,27.2957,0.997091,0.889683,1597.0,0.024368
c487421_1061365_1_harmonized.jpg,2.6639,43.8757,93.2944,28.4322,0.999194,0.97612,1856.0,0.02832
c172051_1561338_1_harmonized.jpg,0.6899,49.743,43.1745,31.7785,0.999597,0.978452,1026.0,0.015656
c228335_1126429_1_harmonized.jpg,3.3639,42.8624,88.7432,28.6495,0.998186,0.964262,2471.0,0.037704
c280898_223959_1_harmonized.jpg,1.7645,45.6647,156.3347,26.1902,0.999203,0.938133,730.0,0.011139
c212303_513647_1_harmonized.jpg,6.1318,40.2549,609.1999,20.2832,0.999013,0.92695,657.0,0.010025
c225566_679670_1_harmonized.jpg,5.9221,40.406,410.2771,22.0,0.998368,0.902615,942.0,0.014374
c127450_143680_1_harmonized.jpg,6.3569,40.0984,192.2182,25.2929,0.998026,0.94512,2162.0,0.03299
c401225_1765432_1_harmonized.jpg,2.943,43.4429,196.9198,25.1879,0.99912,0.955386,973.0,0.014847
c578308_1077260_1_harmonized.jpg,20.8094,34.9482,1162.8846,17.4754,0.998169,0.931274,1172.0,0.017883
c89268_1097698_1_harmonized.jpg,34.8853,32.7044,806.5887,19.0643,0.99499,0.901572,2833.0,0.043228
c157153_268231_1_harmonized.jpg,20.5771,34.997,422.5036,21.8725,0.996214,0.937866,3186.0,0.048615
c536058_1886334_1_harmonized.jpg,8.2153,38.9846,495.3023,21.1821,0.995192,0.766235,1085.0,0.016556
c81317_360892_1_harmonized.jpg,8.9309,38.6219,234.921,24.4216,0.993986,0.91715,2488.0,0.037964
c450592_183875_1_harmonized.jpg,1.8168,45.5377,97.6943,28.2321,0.999338,0.968619,1207.0,0.018417
c459644_1174836_1_harmonized.jpg,6.3836,40.0802,359.2651,22.5767,0.998183,0.902695,1163.0,0.017746
c211644_1735898_1_harmonized.jpg,12.4847,37.167,351.8856,22.6668,0.992029,0.805337,2316.0,0.035339
c321700_1300752_1_harmonized.jpg,3.2226,43.0487,109.6597,27.7303,0.999033,0.970315,1911.0,0.02916
c119665_71069_1_harmonized.jpg,1.2544,47.1466,71.9599,29.5599,0.9989,0.94611,1121.0,0.017105
c119665_71069_2_harmonized.jpg,2.3743,44.3755,137.6459,26.7432,0.998441,0.933206,1121.0,0.017105
c307262_1077610_1_harmonized.jpg,2.59,43.9978,74.052,29.4354,0.997813,0.941013,2282.0,0.034821
c385663_111828_1_harmonized.jpg,2.9848,43.3816,101.481,28.067,0.996545,0.912451,1903.0,0.029037
c367428_66250_1_harmonized.jpg,1.6408,45.9802,114.9831,27.5245,0.99929,0.959678,927.0,0.014145
c186892_1569204_2_harmonized.jpg,0.7498,49.3814,72.8517,29.5064,0.99968,0.979118,661.0,0.010086
c186892_1569204_1_harmonized.jpg,1.453,46.5081,141.9294,26.6101,0.999235,0.94667,661.0,0.010086
c397675_591532_1_harmonized.jpg,5.7251,40.553,203.1965,25.0516,0.998785,0.966021,1839.0,0.028061
c397675_591532_2_harmonized.jpg,4.7073,41.403,166.8545,25.9074,0.998917,0.971273,1839.0,0.028061
c397675_591532_3_harmonized.jpg,2.6734,43.8602,94.3478,28.3835,0.998636,0.965023,1839.0,0.028061
c508262_379420_1_harmonized.jpg,1.9936,45.1345,163.8796,25.9856,0.999151,0.948445,789.0,0.012039
c235652_1929574_1_harmonized.jpg,2.7895,43.6755,69.2984,29.7236,0.998567,0.96703,2616.0,0.039917
c432372_1070398_1_harmonized.jpg,7.2181,39.5466,151.7501,26.3195,0.998131,0.970776,3108.0,0.047424
c407699_1055852_1_harmonized.jpg,2.2763,44.5586,153.6632,26.2651,0.999333,0.965837,964.0,0.014709
c228647_207079_1_harmonized.jpg,1.8339,45.497,56.919,30.5782,0.999471,0.98603,2078.0,0.031708
c78915_1293762_1_harmonized.jpg,1.7692,45.6529,172.4731,25.7636,0.999491,0.967815,668.0,0.010193
c208067_409745_1_harmonized.jpg,1.5317,46.2791,138.4915,26.7166,0.998823,0.900166,723.0,0.011032
c340039_1714761_1_harmonized.jpg,1.9542,45.221,113.2257,27.5914,0.999418,0.974402,1118.0,0.017059
c64342_2196079_1_harmonized.jpg,11.0678,37.6902,322.216,23.0493,0.996984,0.937568,2247.0,0.034286
c336843_1070246_1_harmonized.jpg,7.2625,39.5199,173.72,25.7323,0.997142,0.943381,2730.0,0.041656
c207751_174843_1_harmonized.jpg,2.8852,43.5291,103.8401,27.9672,0.999194,0.977418,1797.0,0.02742
c207751_174843_2_harmonized.jpg,3.1525,43.1443,113.8828,27.5662,0.998344,0.953163,1797.0,0.02742
c297906_348344_1_harmonized.jpg,3.4597,42.7404,218.009,24.7461,0.999365,0.968452,1036.0,0.015808
c444033_1075549_1_harmonized.jpg,3.1978,43.0823,193.4041,25.2661,0.999012,0.956296,1079.0,0.016464
c334809_1060247_1_harmonized.jpg,3.1325,43.1719,168.699,25.8597,0.997916,0.906706,1175.0,0.017929
c334809_1060247_2_harmonized.jpg,1.8647,45.4248,103.0428,28.0006,0.999122,0.958345,1175.0,0.017929
c274773_152547_2_harmonized.jpg,3.5712,42.6027,123.2199,27.224,0.999101,0.972854,1886.0,0.028778
c274773_152547_1_harmonized.jpg,1.9149,45.3094,65.714,29.9542,0.999243,0.976429,1886.0,0.028778
c210867_1708787_1_harmonized.jpg,1.639,45.9851,66.853,29.8796,0.999077,0.966459,1583.0,0.024155
c312828_1484750_1_harmonized.jpg,2.6806,43.8485,84.8325,28.8452,0.996234,0.89961,2056.0,0.031372
c465272_550894_1_harmonized.jpg,2.9602,43.4175,153.8577,26.2596,0.998894,0.948303,1251.0,0.019089
c379093_629978_1_harmonized.jpg,3.7869,42.3479,266.1768,23.8791,0.998367,0.917505,922.0,0.014069
c250516_234253_1_harmonized.jpg,1.4547,46.503,106.0734,27.8747,0.999493,0.975784,885.0,0.013504
c168909_1877993_2_harmonized.jpg,1.5033,46.3603,142.6686,26.5875,0.99906,0.924869,686.0,0.010468
c168909_1877993_1_harmonized.jpg,2.824,43.6221,268.7061,23.838,0.999244,0.937456,686.0,0.010468
